OBJECTID,src_boro_c,nbr_boro_c,LENGTH,NODE_COUNT
344,1005800,1005200,0.000000000000000,1
345,1005800,1005400,0.003491662216704,0
346,1005800,1005600,0.005468558011038,0
347,1005800,1007400,0.000000000000000,1
348,1005800,1007600,0.003492184284535,0
349,1005800,1008700,0.000756045201542,0
350,1005800,1009100,0.003177738437350,0
351,1005800,1009500,0.001532366782069,0
352,1005900,1005501,0.001683217964754,0
353,1005900,1005700,0.005200649245681,0
354,1005900,1006100,0.004373383633219,0
355,1005900,1006300,0.002512685511627,0
356,1005900,1006500,0.003113362664134,0
357,1006000,1004400,0.006697349190866,0
358,1006000,1006200,0.004461661470118,0
359,1006000,1006400,0.002315669762022,0
360,1006000,3056500,0.000098055965744,0
361,1006100,1004200,0.003207164939873,0
362,1006100,1005000,0.000000000000000,1
363,1006100,1005200,0.004033336421974,0
364,1006100,1005400,0.000000000000000,1
365,1006100,1005700,0.001160275860278,0
366,1006100,1005900,0.004373383633219,0
367,1006100,1006300,0.003178850628242,0
368,1006200,1006000,0.004461661470118,0
369,1006200,1006400,0.000826291589451,0
370,1006200,1006600,0.003825298931083,0
371,1006200,1007000,0.003884391339510,0
372,1006200,1007800,0.000000000000000,1
373,1006200,1008601,0.001969175750988,0
374,1006200,3056300,0.000202209947960,0
375,1006200,3056500,0.000093169554260,0
376,1006300,1005200,0.000000000000000,1
377,1006300,1005400,0.003496842211571,0
378,1006300,1005900,0.002512685511627,0
379,1006300,1006100,0.003178850628242,0
380,1006300,1006500,0.003445789885006,0
381,1006300,1007100,0.005482069475684,0
382,1006300,1008100,0.000000000000000,1
383,1006400,1004400,0.000710871330931,0
384,1006400,1004800,0.005130582053100,0
385,1006400,1005000,0.001446209797550,0
386,1006400,1006000,0.002315669762022,0
387,1006400,1006200,0.000826291589451,0
388,1006400,1006600,0.005008227061932,0
389,1006400,1006800,0.002411399994074,0
390,1006500,1003700,0.000744713016913,0
391,1006500,1004900,0.002489635781897,0
392,1006500,1005501,0.004825292481806,0
393,1006500,1005900,0.003113362664134,0
394,1006500,1006300,0.003445789885006,0
395,1006500,1006700,0.003835606028631,0
396,1006500,1007100,0.001511403950497,0
397,1006600,1006200,0.003825298931083,0
398,1006600,1006400,0.005008227061932,0
399,1006600,1006800,0.003062064814199,0
400,1006600,1007000,0.005004172301184,0
401,1006600,1007200,0.000763792489982,0
402,1006700,1003700,0.004292486596197,0
403,1006700,1006500,0.003835606028631,0
404,1006700,1006900,0.002934406687609,0
405,1006700,1007100,0.001652438915178,0
406,1006700,1007300,0.004706151392777,0
407,1006800,1005000,0.003493934109220,0
408,1006800,1005200,0.000000000000000,1
409,1006800,1005600,0.005473860095727,0
410,1006800,1006400,0.002411399994074,0
411,1006800,1006600,0.003062064814199,0
412,1006800,1007200,0.003489075565303,0
413,1006800,1007400,0.000000000000000,1
414,1006900,1003700,0.005161254161652,0
415,1006900,1006700,0.002934406687609,0
416,1006900,1007300,0.001401486613404,0
417,1006900,1007500,0.004646628682316,0
418,1007000,1006200,0.003884391339510,0
419,1007000,1006600,0.005004172301184,0
420,1007000,1007200,0.003884133848486,0
421,1007000,1007800,0.005008575124997,0
422,1007000,1008601,0.000000000000000,1
423,1007100,1005400,0.000000000000000,1
424,1007100,1006300,0.005482069475684,0
425,1007100,1006500,0.001511403950497,0
426,1007100,1006700,0.001652438915178,0
427,1007100,1007300,0.005307843320786,0
428,1007100,1007700,0.003305352163124,0
429,1007100,1008100,0.003083806800016,0
430,1007200,1005600,0.000000000000000,1
431,1007200,1006600,0.000763792489982,0
432,1007200,1006800,0.003489075565303,0
433,1007200,1007000,0.003884133848486,0
434,1007200,1007400,0.005475703071857,0
435,1007200,1007800,0.000824016434582,0
436,1007200,1008000,0.003489488150584,0
437,1007200,1008200,0.000000000000000,1
438,1007300,1006700,0.004706151392777,0
439,1007300,1006900,0.001401486613404,0
440,1007300,1007100,0.005307843320786,0
441,1007300,1007500,0.002826647005852,0
442,1007300,1007700,0.004052096689635,0
443,1007400,1005600,0.003497139312495,0
444,1007400,1005800,0.000000000000000,1
445,1007400,1006800,0.000000000000000,1
446,1007400,1007200,0.005475703071857,0
447,1007400,1007600,0.005470044048845,0
448,1007400,1008000,0.000000000000000,1
449,1007400,1008200,0.003497595651145,0
450,1007400,1008400,0.000000000000000,1
451,1007500,1006900,0.004646628682316,0
452,1007500,1007300,0.002826647005852,0
453,1007500,1007700,0.000701277538845,0
454,1007500,1007900,0.004850499054738,0
455,1007600,1005600,0.000000000000000,1
456,1007600,1005800,0.003492184284535,0
457,1007600,1007400,0.005470044048845,0
458,1007600,1008200,0.000000000000000,1
459,1007600,1008400,0.003488958113996,0
460,1007600,1009500,0.001527690873745,0
461,1007600,1010100,0.003117958397169,0
462,1007600,1010900,0.000817047339154,0
463,1007700,1007100,0.003305352163124,0
464,1007700,1007300,0.004052096689635,0
465,1007700,1007500,0.000701277538845,0
466,1007700,1007900,0.004387597549943,0
467,1007700,1008100,0.003082798635162,0
468,1007700,1008300,0.002823759459227,0
469,1007800,1006200,0.000000000000000,1
470,1007800,1007000,0.005008575124997,0
471,1007800,1007200,0.000824016434582,0
472,1007800,1008000,0.003073222672206,0
473,1007800,1008601,0.003878689212680,0
474,1007800,1008800,0.005015157173967,0
475,1007900,1007500,0.004850499054738,0
476,1007900,1007700,0.004387597549943,0
477,1007900,1008300,0.003340682677383,0
478,1007900,1009900,0.001009716382818,0
479,1008000,1007200,0.003489488150584,0
480,1008000,1007400,0.000000000000000,1
481,1008000,1007800,0.003073222672206,0
482,1008000,1008200,0.005399950598674,0
483,1008000,1008800,0.002341268197531,0
484,1008000,1009200,0.003504349707961,0
485,1008100,1005400,0.003092758196144,0
486,1008100,1006300,0.000000000000000,1
487,1008100,1007100,0.003083806800016,0
488,1008100,1007700,0.003082798635162,0
489,1008100,1008300,0.003093721908733,0
490,1008100,1008700,0.006168137303312,0
491,1008100,1008900,0.000000000000000,1
492,1008200,1007200,0.000000000000000,1
493,1008200,1007400,0.003497595651145,0
494,1008200,1007600,0.000000000000000,1
495,1008200,1008000,0.005399950598674,0
496,1008200,1008400,0.005417189789962,0
497,1008200,1009200,0.000732534527736,0
498,1008200,1009400,0.002754987365525,0
499,1008200,1009600,0.000000000000000,1
500,1008300,1007700,0.002823759459227,0
501,1008300,1007900,0.003340682677383,0
502,1008300,1008100,0.003093721908733,0
503,1008300,1008700,0.000000000000000,1
504,1008300,1008900,0.006165093698225,0
505,1008300,1009900,0.003090825965177,0
506,1008400,1007400,0.000000000000000,1
507,1008400,1007600,0.003488958113996,0
508,1008400,1008200,0.005417189789962,0
509,1008400,1009400,0.000000000000000,1
510,1008400,1009600,0.003505467099672,0
511,1008400,1010900,0.002300955331543,0
512,1008400,1011300,0.003118082885535,0
513,1008400,1011900,0.000000000000000,1
514,1008601,1006200,0.001969175750988,0
515,1008601,1007000,0.000000000000000,1
516,1008601,1007800,0.003878689212680,0
517,1008601,1008602,0.002105970527117,0
518,1008601,1008800,0.002335222803046,0
519,1008602,1008601,0.002105970527117,0
520,1008602,1008603,0.002598914941651,0
521,1008602,1008800,0.001612260159031,0
522,1008602,1009000,0.003111365355102,0
523,1008603,1008602,0.002598914941651,0
524,1008603,1009000,0.000769213886190,0
525,1008603,1009800,0.003885071411806,0
526,1008603,1010601,0.002975452542713,0
527,1008603,1010800,0.000000000000000,1
528,1008700,1005400,0.002180674534617,0
529,1008700,1005800,0.000756045201542,0
530,1008700,1008100,0.006168137303312,0
531,1008700,1008300,0.000000000000000,1
532,1008700,1008900,0.002939752903271,0
533,1008700,1009100,0.006167021517067,0
534,1008700,1009300,0.000000000000000,1
535,1008800,1007800,0.005015157173967,0
536,1008800,1008000,0.002341268197531,0
537,1008800,1008601,0.002335222803046,0
538,1008800,1008602,0.001612260159031,0
539,1008800,1009000,0.004992296376991,0
540,1008800,1009200,0.001605602673080,0
541,1008900,1008100,0.000000000000000,1
542,1008900,1008300,0.006165093698225,0
543,1008900,1008700,0.002939752903271,0
544,1008900,1009100,0.000000000000000,1
545,1008900,1009300,0.006161647112920,0
546,1008900,1009900,0.002941600048989,0
547,1009000,1008602,0.003111365355102,0
548,1009000,1008603,0.000769213886190,0
549,1009000,1008800,0.004992296376991,0
550,1009000,1009200,0.003874345068259,0
551,1009000,1009800,0.004997351514089,0
552,1009000,1010000,0.000000000000000,1
553,1009100,1005800,0.003177738437350,0
554,1009100,1008700,0.006167021517067,0
555,1009100,1008900,0.000000000000000,1
556,1009100,1009300,0.003184387343630,0
557,1009100,1009500,0.006167581331975,0
558,1009100,1009700,0.000000000000000,1
559,1009200,1008000,0.003504349707961,0
560,1009200,1008200,0.000732534527736,0
561,1009200,1008800,0.001605602673080,0
562,1009200,1009000,0.003874345068259,0
563,1009200,1009400,0.006245029189565,0
564,1009200,1009800,0.000000000000000,1
565,1009200,1010000,0.003498079069533,0
566,1009200,1010200,0.000000000000000,1
567,1009300,1008700,0.000000000000000,1
568,1009300,1008900,0.006161647112920,0
569,1009300,1009100,0.003184387343630,0
570,1009300,1009500,0.000000000000000,1
571,1009300,1009700,0.006167293664595,0
572,1009300,1009900,0.003175949971437,0
573,1009400,1008200,0.002754987365525,0
574,1009400,1008400,0.000000000000000,1
575,1009400,1009200,0.006245029189565,0
576,1009400,1009600,0.005484248590007,0
577,1009400,1010000,0.000000000000000,1
578,1009400,1010200,0.003489999762460,0
579,1009400,1010400,0.000000000000000,1
580,1009500,1005800,0.001532366782069,0
581,1009500,1007600,0.001527690873745,0
582,1009500,1009100,0.006167581331975,0
583,1009500,1009300,0.000000000000000,1
584,1009500,1009700,0.003054007955598,0
585,1009500,1010100,0.006165545656349,0
586,1009500,1010300,0.000000000000000,1
587,1009600,1008200,0.000000000000000,1
588,1009600,1008400,0.003505467099672,0
589,1009600,1009400,0.005484248590007,0
590,1009600,1010200,0.000000000000000,1
591,1009600,1010400,0.003505201007960,0
592,1009600,1011300,0.000000000000000,1
593,1009600,1011900,0.003153857135994,0
594,1009600,1012500,0.002328621772610,0
595,1009700,1009100,0.000000000000000,1
596,1009700,1009300,0.006167293664595,0
597,1009700,1009500,0.003054007955598,0
598,1009700,1009900,0.003056008432598,0
599,1009700,1010100,0.000000000000000,1
600,1009700,1010300,0.006164715890596,0
601,1009800,1008603,0.003885071411806,0
602,1009800,1009000,0.004997351514089,0
603,1009800,1009200,0.000000000000000,1
604,1009800,1010000,0.003879112015301,0
605,1009800,1010601,0.000000000000000,1
606,1009800,1010800,0.005004599556442,0
607,1009900,1007900,0.001009716382818,0
608,1009900,1008300,0.003090825965177,0
609,1009900,1008900,0.002941600048989,0
610,1009900,1009300,0.003175949971437,0
611,1009900,1009700,0.003056008432598,0
612,1009900,1010300,0.003124768350974,0
613,1009900,1011100,0.003124456599487,0
614,1009900,1011500,0.000000000000000,1
615,1009900,1011700,0.007339043159204,0
616,1010000,1009000,0.000000000000000,1
617,1010000,1009200,0.003498079069533,0
618,1010000,1009400,0.000000000000000,1
619,1010000,1009800,0.003879112015301,0
620,1010000,1010200,0.005422103950089,0
621,1010000,1010800,0.001545018444426,0
622,1010000,1011202,0.000000000000000,1
623,1010000,1011203,0.003493287880393,0
624,1010100,1007600,0.003117958397169,0
625,1010100,1009500,0.006165545656349,0
626,1010100,1009700,0.000000000000000,1
627,1010100,1010300,0.003115431485166,0
628,1010100,1010900,0.006181356451019,0
629,1010100,1011100,0.000000000000000,1
630,1010200,1009200,0.000000000000000,1
631,1010200,1009400,0.003489999762460,0
632,1010200,1009600,0.000000000000000,1
633,1010200,1010000,0.005422103950089,0
634,1010200,1010400,0.005424318444539,0
635,1010200,1011201,0.000000000000000,1
636,1010200,1011202,0.003489095528448,0
637,1010200,1011203,0.000000000000000,1
638,1010300,1009500,0.000000000000000,1
639,1010300,1009700,0.006164715890596,0
640,1010300,1009900,0.003124768350974,0
641,1010300,1010100,0.003115431485166,0
642,1010300,1010900,0.000000000000000,1
643,1010300,1011100,0.006163555621893,0
644,1010400,1009400,0.000000000000000,1
645,1010400,1009600,0.003505201007960,0
646,1010400,1010200,0.005424318444539,0
647,1010400,1011201,0.003500082119303,0
648,1010400,1011202,0.000000000000000,1
649,1010400,1012500,0.000778593263972,0
650,1010400,1013100,0.003092466786210,0
651,1010400,1013700,0.001548166232968,0
652,1010601,1008603,0.002975452542713,0
653,1010601,1009800,0.000000000000000,1
654,1010601,1010602,0.003461519669898,0
655,1010601,1010800,0.004006549112559,0
656,1010601,1011000,0.000000000000000,1
657,1010602,1010601,0.003461519669898,0
658,1010602,1010800,0.000000000000000,1
659,1010602,1011000,0.003859631100510,0
660,1010602,1011600,0.004952457584054,0
661,1010602,1011800,0.000000000000000,1
662,1010800,1008603,0.000000000000000,1
663,1010800,1009800,0.005004599556442,0
664,1010800,1010000,0.001545018444426,0
665,1010800,1010601,0.004006549112559,0
666,1010800,1010602,0.000000000000000,1
667,1010800,1011000,0.005005330178502,0
668,1010800,1011203,0.002495775343508,0
669,1010800,1011402,0.000000000000000,1
670,1010900,1007600,0.000817047339154,0
671,1010900,1008400,0.002300955331543,0
672,1010900,1010100,0.006181356451019,0
673,1010900,1010300,0.000000000000000,1
674,1010900,1011100,0.003112604579772,0
675,1010900,1011300,0.006168054594344,0
676,1010900,1011500,0.000000000000000,1
677,1011000,1010601,0.000000000000000,1
678,1011000,1010602,0.003859631100510,0
679,1011000,1010800,0.005005330178502,0
680,1011000,1011203,0.000000000000000,1
681,1011000,1011402,0.003101949510657,0
682,1011000,1011600,0.000000000000000,1
683,1011000,1011800,0.004996533369443,0
684,1011000,1012000,0.000774511840258,0
685,1011100,1009900,0.003124456599487,0
686,1011100,1010100,0.000000000000000,1
687,1011100,1010300,0.006163555621893,0
688,1011100,1010900,0.003112604579772,0
689,1011100,1011300,0.000000000000000,1
690,1011100,1011500,0.006153634624435,0
691,1011100,1011700,0.000000000000000,1
692,1011201,1010200,0.000000000000000,1
693,1011201,1010400,0.003500082119303,0
694,1011201,1011202,0.002454383627320,0
