OBJECTID,stop_frisk1_XYTableToPoint_S_2,stop_frisk1_XYTableToPoint_S_3,geo_export_267875c8_5ee9_4cb_13
10601,2017-01-12,19:00:00,4007900
10602,2017-01-19,14:15:00,4002500
10603,2017-01-20,15:30:00,4002500
10604,2017-01-19,10:45:00,4004700
10605,2017-01-10,20:05:00,4004700
10606,2017-01-10,20:05:00,4004700
10607,2017-01-10,21:30:00,4010300
10608,2017-01-10,21:30:00,4010300
10609,2017-01-24,14:56:00,4011100
10610,2017-01-24,14:30:00,4012500
10611,2017-01-28,21:27:00,4008700
10612,2017-01-28,21:16:00,4008700
10613,2017-01-28,21:16:00,4008700
10614,2017-01-30,8:15:00,4002500
10615,2017-01-30,8:52:00,4005100
10616,2017-01-31,21:16:00,4006300
10617,2017-02-01,2:50:00,4008100
10618,2017-02-01,2:50:00,4008100
10619,2017-02-01,11:25:00,4015500
10620,2017-02-01,15:00:00,4011300
10622,2017-01-31,13:00:00,4006100
10623,2017-02-03,0:09:00,4008700
10624,2017-02-08,8:30:00,4016300
10625,2017-02-08,8:30:00,4016300
10626,2017-01-03,17:52:00,4003300
10627,2017-01-02,0:30:00,4029900
10628,2017-01-02,0:30:00,4029900
10629,2017-02-11,0:35:00,4007900
10630,2017-02-11,0:35:00,4007900
10631,2017-01-31,8:39:00,4016300
10632,2017-01-31,8:39:00,4016300
10633,2017-02-11,4:19:00,4012500
10634,2017-02-11,4:19:00,4012500
10635,2017-02-11,4:19:00,4012500
10636,2017-02-11,4:19:00,4012500
10637,2017-02-11,21:15:00,4008700
10638,2017-01-24,3:42:00,4029500
10639,2017-02-14,19:20:00,4004700
10640,2017-02-11,15:30:00,4008100
10641,2017-02-15,20:05:00,4002500
10642,2017-01-09,2:00:00,4004300
10643,2017-02-15,15:45:00,4008500
10644,2017-02-17,18:05:00,4012301
10645,2017-02-16,16:45:00,4003700
10646,2017-02-17,18:05:00,4012301
10647,2017-02-18,6:14:00,4006300
10648,2017-02-19,5:50:00,4008700
10649,2017-01-19,14:15:00,4002500
10650,2017-02-18,17:10:00,4004700
10651,2017-02-18,16:05:00,4029500
10652,2017-02-22,20:45:00,4014900
10653,2017-01-02,10:36:00,4010300
10654,2017-02-23,19:50:00,4002500
10655,2017-02-25,20:50:00,4007300
10656,2017-02-25,20:50:00,4007300
10657,2017-02-18,15:55:00,4016300
10658,2017-02-18,15:50:00,4016300
10659,2017-02-25,0:20:00,4029500
10660,2017-02-28,3:54:00,4005900
10661,2017-02-19,19:05:00,4004300
10662,2017-03-02,8:35:00,4008700
10663,2017-03-01,19:20:00,4003300
10664,2017-02-24,11:49:00,4014100
10665,2017-02-04,2:24:00,4014300
10666,2017-02-04,2:23:00,4014300
10667,2017-02-04,2:23:00,4014300
10668,2017-03-09,0:20:00,4015900
10669,2017-03-09,0:09:00,4003300
10670,2017-03-09,2:47:00,4008700
10671,2017-03-09,2:47:00,4008700
