Taxi_Zone,Time_Period,total
86,morning,1115
87,evening,266831
87,latenight,258811
87,midday,245949
87,morning,179736
88,evening,108233
88,latenight,75558
88,midday,170959
88,morning,132575
89,evening,24989
89,latenight,48557
89,midday,10583
89,morning,12440
90,evening,596013
90,latenight,388907
90,midday,506706
90,morning,230325
91,evening,5237
91,latenight,7048
91,midday,3463
91,morning,2739
92,evening,15794
92,latenight,12856
92,midday,12133
92,morning,6961
93,evening,6897
93,latenight,2220
93,midday,8126
93,morning,3402
94,evening,1793
94,latenight,3842
94,midday,1112
94,morning,1818
95,evening,42946
95,latenight,55319
95,midday,20355
95,morning,13936
96,evening,577
96,latenight,805
96,midday,402
96,morning,290
97,evening,71025
97,latenight,80809
97,midday,29008
97,morning,19757
98,evening,5010
98,latenight,3223
98,midday,3841
98,morning,1604
99,evening,15
99,latenight,23
99,midday,10
99,morning,13
100,evening,552564
100,latenight,245878
100,midday,624619
100,morning,330775
101,evening,2138
101,latenight,1802
101,midday,1486
101,morning,825
102,evening,4211
102,latenight,6745
102,midday,2428
102,morning,2580
104,evening,0
104,latenight,0
104,midday,1
104,morning,0
105,evening,36
105,latenight,24
105,midday,25
105,morning,20
106,evening,20765
106,latenight,25348
106,midday,10162
106,morning,6626
107,evening,891480
107,latenight,542043
107,midday,621682
107,morning,341234
108,evening,1994
108,latenight,2358
108,midday,994
108,morning,880
109,evening,306
109,latenight,500
109,midday,119
109,morning,145
110,evening,0
110,latenight,2
110,midday,0
110,morning,0
111,evening,439
111,latenight,678
111,midday,226
111,morning,151
112,evening,94443
112,latenight,134846
112,midday,39338
112,morning,28329
113,evening,629709
113,latenight,278688
113,midday,511967
113,morning,198067
114,evening,497455
114,latenight,297862
114,midday,337680
114,morning,128080
115,evening,433
115,latenight,559
115,midday,348
115,morning,235
116,evening,97545
116,latenight,134218
116,midday,48499
116,morning,39037
117,evening,1266
117,latenight,1610
117,midday,891
117,morning,533
118,evening,637
118,latenight,809
118,midday,336
118,morning,233
119,evening,6508
119,latenight,9089
119,midday,4425
119,morning,3972
120,evening,1289
120,latenight,1905
120,midday,724
120,morning,836
121,evening,4811
121,latenight,5272
121,midday,3394
121,morning,2822
122,evening,1429
122,latenight,1448
122,midday,935
122,morning,616
123,evening,4455
123,latenight,5715
123,midday,2632
123,morning,2280
124,evening,4043
124,latenight,3600
124,midday,2461
124,morning,1395
125,evening,178464
125,latenight,118858
125,midday,206908
125,morning,112417
126,evening,2888
126,latenight,5016
126,midday,2182
126,morning,3815
127,evening,26424
127,latenight,39935
127,midday,10925
127,morning,9082
128,evening,1757
128,latenight,1424
128,midday,1362
128,morning,2265
129,evening,48934
129,latenight,87841
129,midday,31109
129,morning,34614
130,evening,7845
130,latenight,7811
130,midday,7531
130,morning,5159
131,evening,4711
131,latenight,5140
131,midday,2694
131,morning,2190
132,evening,365592
132,latenight,38833
132,midday,345130
132,morning,248454
133,evening,10280
133,latenight,16970
133,midday,3987
133,morning,3707
134,evening,8228
134,latenight,9614
134,midday,4843
134,morning,4081
135,evening,7240
135,latenight,7803
135,midday,4839
135,morning,3952
136,evening,2822
136,latenight,5480
136,midday,1932
136,morning,2630
137,evening,518420
137,latenight,375518
137,midday,388251
137,morning,328009
138,evening,276110
138,latenight,15534
138,midday,559646
138,morning,463717
139,evening,2585
139,latenight,2307
139,midday,1919
139,morning,1162
140,evening,599961
140,latenight,275349
140,midday,633923
140,morning,452300
141,evening,1025066
141,latenight,478272
141,midday,769909
141,morning,323018
142,evening,1198071
142,latenight,373320
142,midday,995563
142,morning,363693
143,evening,557569
143,latenight,245440
143,midday,397766
143,morning,163360
144,evening,403861
144,latenight,251847
144,midday,352064
144,morning,106977
145,evening,109888
145,latenight,119845
145,midday,71538
145,morning,53934
146,evening,39441
146,latenight,48800
146,midday,29567
146,morning,27453
147,evening,2444
147,latenight,5630
147,midday,1535
147,morning,2374
148,evening,471821
148,latenight,443806
148,midday,255376
148,morning,82003
149,evening,3292
