Census_Tracts,mean
1000201,0.6071428571428571
1000202,1.3278688524590163
1000600,3.4759358288770055
1000700,1.9
1000800,1.8387096774193548
1000900,2.8923076923076922
1001001,0.5454545454545454
1001002,1.855421686746988
1001200,2.067415730337079
1001300,4.461864406779661
1001401,0.3888888888888889
1001402,1.8636363636363635
1001501,1.8478260869565217
1001502,1.5217391304347827
1001600,2.6713286713286712
1001800,4.74609375
1002000,0.4827586206896552
1002100,3.1337579617834397
1002201,2.0854700854700856
1002202,1.1875
1002400,0.8113207547169812
1002500,0.625
1002601,2.099009900990099
1002602,1.872093023255814
1002700,1.1428571428571428
1002800,2.4234234234234235
1002900,2.0294117647058822
1003001,4.717131474103586
1003002,1.2028985507246377
1003100,2.0288461538461537
1003200,2.804195804195804
1003300,4.435185185185185
1003400,3.2929936305732483
1003601,1.7553191489361701
1003602,2.091743119266055
1003700,1.8210526315789475
1003800,4.955823293172691
1003900,3.087378640776699
1004000,3.1578947368421053
1004100,2.4393939393939394
1004200,1.8433734939759037
1004300,2.354330708661417
1004400,0.9615384615384616
1004500,1.8681318681318682
1004700,2.4296296296296296
1004800,2.924137931034483
1004900,5.428571428571429
1005000,2.6470588235294117
1005200,6.201863354037267
1005400,3.066666666666667
1005501,1.6818181818181819
1005502,1.670731707317073
1005600,1.6153846153846154
1005700,1.5679012345679013
1005800,3.6752577319587627
1005900,1.5844155844155845
1006000,1.1296296296296295
1006100,2.6449275362318843
1006200,0.8163265306122449
1006300,2.3394495412844036
1006400,4.604347826086957
1006500,5.038910505836576
1006600,3.3488372093023258
1006700,2.061946902654867
1006800,3.26875
1006900,2.182926829268293
1007000,2.0
1007100,4.506437768240343
1007200,3.019230769230769
1007300,4.22680412371134
1007400,3.2261904761904763
1007500,1.0689655172413792
1007600,5.522184300341297
1007700,2.522935779816514
1007800,1.475
1007900,4.105990783410138
1008000,1.9705882352941178
1008100,4.489451476793249
1008200,1.6923076923076923
1008300,4.850187265917603
1008400,3.9342723004694835
1008601,0.2777777777777778
1008602,0.0
1008603,0.5
1008700,3.457627118644068
1008800,2.032258064516129
1008900,1.8282828282828283
1009000,1.5
1009100,3.1949685534591197
1009200,4.615044247787611
1009300,3.046666666666667
1009400,1.6595744680851063
1009500,2.6666666666666665
1009600,3.4207317073170733
1009700,1.5333333333333334
1009800,2.6
1009900,4.527896995708154
1010000,4.231884057971015
1010100,6.8
1010200,1.6103896103896105
1010300,1.684782608695652
1010400,6.003597122302159
1010601,0.8461538461538461
1010602,0.6585365853658537
1010800,1.9081632653061225
1010900,9.499013806706115
1011000,1.3380281690140845
1011100,6.676470588235294
1011201,3.915
1011202,1.2
1011203,2.2181818181818183
1011300,3.424731182795699
1011401,1.9904761904761905
1011402,5.773648648648648
1011500,5.398671096345515
1011600,1.2
1011700,0.59375
1011800,1.547945205479452
1011900,10.36491935483871
1012000,2.553956834532374
1012100,8.932461873638344
1012200,1.1940298507462686
1012400,0.7692307692307693
1012500,5.8957654723127035
1012600,1.5517241379310345
1012700,3.797872340425532
1012800,1.15
1012900,4.376146788990826
1013000,1.25
1013100,3.456043956043956
1013200,1.469387755102041
1013300,6.022364217252396
1013400,1.7142857142857142
1013500,2.702127659574468
1013600,1.4736842105263157
1013700,4.912698412698413
1013800,1.892156862745098
1013900,2.617021276595745
1014000,1.936842105263158
1014200,0.8333333333333334
1014300,3.933673469387755
1014401,0.7419354838709677
1014402,0.9433962264150944
1014500,2.73943661971831
1014601,1.0434782608695652
1014602,1.3098591549295775
1014700,1.0833333333333333
1014801,1.3424657534246576
1014802,3.4529411764705884
1014900,1.4266666666666667
1015001,0.0
1015002,0.6808510638297872
1015100,2.018181818181818
1015200,1.643835616438356
1015300,2.7214285714285715
1015400,2.3008849557522124
1015500,0.8301886792452831
1015601,1.2881355932203389
1015602,1.0677966101694916
1015700,2.2436974789915967
1015801,1.725
1015802,1.1754385964912282
1015900,2.6850393700787403
1016001,0.5666666666666667
1016002,0.5909090909090909
1016100,1.5352112676056338
1016200,1.2666666666666666
1016300,2.2577319587628866
1016400,2.316666666666667
1016500,1.7446808510638299
1016600,3.434065934065934
1016700,2.0631578947368423
1016800,1.9550561797752808
1016900,1.9615384615384615
1017000,2.8615384615384616
1017100,1.452054794520548
1017200,6.454545454545454
1017300,1.4634146341463414
1017401,1.7804878048780488
1017402,0.7419354838709677
1017500,2.0283018867924527
1017700,1.558139534883721
1017800,1.4102564102564104
1017900,1.7555555555555555
1018000,2.4885496183206106
1018100,1.4375
1018200,6.957386363636363
1018300,3.9345794392523366
1018400,1.936842105263158
1018500,1.4861111111111112
1018600,2.7412587412587412
1018700,2.364406779661017
1018800,3.1548387096774193
1018900,4.833333333333333
1019000,2.237623762376238
1019100,2.912751677852349
1019200,1.6849315068493151
1019300,2.204301075268817
1019400,2.5211267605633805
1019500,2.776923076923077
1019600,7.546174142480211
1019701,0.8979591836734694
1019702,1.0196078431372548
1019800,2.7615384615384615
1019900,1.6853932584269662
1020000,2.0618556701030926
1020101,0.0
1020102,3.475862068965517
1020300,1.323076923076923
1020500,0.627906976744186
1020600,2.0576923076923075
1020701,0.125
1020800,1.9333333333333333
1020901,2.859259259259259
1021000,2.525925925925926
1021100,3.462962962962963
1021200,2.4098360655737703
1021303,1.3472222222222223
1021400,1.7916666666666667
1021500,1.0952380952380953
1021600,3.0838709677419356
1021703,1.6818181818181819
1021800,3.446236559139785
1021900,4.054187192118227
1022000,2.075268817204301
1022102,1.1346153846153846
1022200,7.480314960629921
1022301,2.0
1022302,0.4666666666666667
1022400,2.4776119402985075
1022500,2.408
1022600,2.0833333333333335
1022700,1.4366197183098592
1022800,4.463519313304721
1022900,3.161676646706587
1023000,2.6402877697841727
1023100,3.0067114093959733
1023200,2.5347222222222223
1023300,2.6721311475409837
1023400,1.3125
1023501,2.2547169811320753
1023502,1.4583333333333333
1023600,1.8775510204081634
1023700,2.5073529411764706
1023801,0.4117647058823529
1023802,0.14285714285714285
1023900,0.6571428571428571
1024000,7.862745098039215
1024100,2.2857142857142856
1024200,3.1185185185185187
1024301,1.2
1024302,2.2844827586206895
1024500,3.931937172774869
1024700,1.4285714285714286
1024900,1.0784313725490196
1025100,2.9029850746268657
1025300,2.622047244094488
1025500,1.434782608695652
1025700,3.0246913580246915
1025900,2.225225225225225
1026100,2.4285714285714284
1026300,2.3805309734513274
1026500,2.1954022988505746
1026700,0.06666666666666667
1026900,2.319327731092437
1027100,4.551440329218107
1027300,2.210526315789474
1027500,0.8823529411764706
1027700,1.3924050632911393
1027900,3.11875
1028100,0.7674418604651163
1028300,1.0677966101694916
1028500,1.5656565656565657
1028700,1.7951807228915662
1029100,3.7635467980295565
1029300,4.014778325123153
1029500,1.7524752475247525
1029700,1.150943396226415
1029900,2.4384615384615387
1030300,2.087719298245614
1030700,0.5555555555555556
1030900,2.3333333333333335
1031100,0.3125
1031703,1.0169491525423728
1031704,1.8170731707317074
1031900,0.18181818181818182
2000100,13.170992366412214
2000200,0.6666666666666666
2000400,1.21875
2001600,1.360655737704918
2001900,3.6
2002000,2.78
2002300,1.7857142857142858
2002400,0.2
2002500,1.8415841584158417
2002701,1.0677966101694916
2002702,2.182795698924731
2002800,1.8275862068965518
2003100,0.5483870967741935
2003300,1.776470588235294
2003500,1.4153846153846155
2003700,0.5
2003800,0.3333333333333333
2003900,6.448863636363637
2004001,0.48148148148148145
2004100,3.430939226519337
2004200,3.694736842105263
2004300,4.483050847457627
2004400,1.2714285714285714
2004600,3.532967032967033
2004800,1.25
2005001,1.5466666666666666
2005002,1.513157894736842
2005100,4.696850393700787
2005200,1.2295081967213115
2005300,1.6590909090909092
2005400,2.617021276595745
2005600,1.5
2005902,0.525
2006000,0.6363636363636364
2006100,0.65625
2006200,3.1901840490797544
2006300,6.176100628930818
2006400,0.7647058823529411
2006500,10.534296028880867
2006700,3.531791907514451
2006800,1.5844155844155845
2006900,3.239766081871345
2007000,1.8076923076923077
2007100,3.8383838383838382
2007200,0.9649122807017544
2007300,2.3983050847457625
2007400,1.1636363636363636
2007500,3.104575163398693
2007600,1.97196261682243
2007700,2.495798319327731
2007800,1.263157894736842
2007900,2.7615384615384615
2008300,2.141509433962264
2008400,0.08333333333333333
2008500,1.9375
2008600,0.9272727272727272
2008700,2.537878787878788
2008900,2.360655737704918
2009000,2.612403100775194
2009200,1.3513513513513513
2009300,4.681818181818182
2009600,1.1578947368421053
2009800,1.4936708860759493
2011000,0.5714285714285714
2011502,2.30327868852459
2011700,1.1346153846153846
2011800,0.14285714285714285
2011900,3.1506849315068495
2012101,1.1568627450980393
2012102,0.5
2012300,2.088235294117647
2012500,1.471264367816092
2012701,1.978494623655914
2012901,2.512396694214876
2013000,0.21428571428571427
2013100,2.4108527131782944
2013200,0.6222222222222222
2013300,2.341666666666667
2013500,1.5308641975308641
2013800,0.5
2014100,2.7132867132867133
2014300,1.1111111111111112
2014400,1.5526315789473684
2014500,2.1983471074380163
2014701,1.8829787234042554
2014702,0.9245283018867925
2014900,1.5375
2015100,2.0625
2015200,0.35294117647058826
2015300,1.3670886075949367
2015500,1.1967213114754098
2015700,1.84375
2015800,0.5833333333333334
2015900,1.736842105263158
2016000,0.6363636363636364
2016100,2.6715328467153285
2016200,0.14285714285714285
2016300,1.2222222222222223
2016400,0.25
2016500,2.4344262295081966
2016600,2.330578512396694
2016700,1.6813186813186813
2016900,0.4
2017100,0.25
2017300,1.8865979381443299
2017500,2.6171875
2017701,2.3608247422680413
2017702,2.6884057971014492
2017901,1.4878048780487805
2017902,0.8958333333333334
2018101,0.7560975609756098
2018102,1.4782608695652173
2018301,0.8444444444444444
2018302,1.6067415730337078
2018400,0.7209302325581395
2018500,5.17921146953405
2018900,2.217741935483871
2019300,1.797752808988764
2019400,0.14285714285714285
2019500,3.006622516556291
2019700,2.8161764705882355
2019900,2.6258992805755397
2020000,1.6666666666666667
2020100,1.8673469387755102
2020200,0.926829268292683
2020400,0.6944444444444444
2020501,2.217821782178218
2020502,0.6129032258064516
2020601,0.7435897435897436
2020900,1.096774193548387
2021001,1.5333333333333334
2021002,0.95
2021100,1.0677966101694916
2021200,1.1666666666666667
2021301,0.8648648648648649
2021302,1.3888888888888888
2021501,0.7317073170731707
2021502,2.5942028985507246
2021601,1.0441176470588236
2021602,1.6470588235294117
2021700,1.9387755102040816
2021800,1.7640449438202248
2021900,2.1452991452991452
2022000,1.8522727272727273
2022101,4.392241379310345
2022102,2.0707070707070705
2022200,1.7012987012987013
2022300,3.632183908045977
2022401,2.126126126126126
2022403,0.8
2022404,1.1578947368421053
2022500,2.1666666666666665
2022701,1.9904761904761905
2022702,2.7363636363636363
2022703,0.3181818181818182
2022800,0.6571428571428571
2022901,1.1311475409836065
2022902,0.8541666666666666
2023000,1.2173913043478262
2023100,0.9166666666666666
2023200,0.8292682926829268
2023301,1.0892857142857142
2023302,1.1090909090909091
2023501,0.98
2023502,1.8461538461538463
2023600,0.6071428571428571
2023702,1.7590361445783131
2023703,2.3278688524590163
2023704,1.3088235294117647
2023800,1.3076923076923077
2023900,4.483606557377049
2024000,1.5151515151515151
2024100,2.559322033898305
2024300,1.6395348837209303
2024400,0.625
2024501,1.4788732394366197
2024502,1.0
2024600,0.5925925925925926
2024700,0.5454545454545454
2024800,0.2727272727272727
2024900,0.23076923076923078
2025000,0.3
2025100,2.86
2025200,0.5
2025300,3.2213740458015265
2025400,0.14285714285714285
2025500,2.2389380530973453
2025600,0.6
2025700,0.7441860465116279
2026100,0.65
2026300,2.3846153846153846
2026400,0.9038461538461539
2026500,4.263888888888889
2026601,0.43478260869565216
2026602,1.2105263157894737
2026701,1.4698795180722892
2026702,1.3478260869565217
2026900,1.8421052631578947
2027300,1.4266666666666667
2027401,0.6774193548387096
2027402,0.25
2027600,0.6666666666666666
2027700,1.2933333333333332
2027900,1.6666666666666667
2028100,0.7941176470588235
2028300,1.0727272727272728
2028400,1.4137931034482758
2028500,1.144736842105263
2028600,0.5
2028700,3.033333333333333
2028800,1.1666666666666667
2028900,1.73
2029301,0.3333333333333333
2029302,1.3421052631578947
2029500,1.0754716981132075
2029600,3.24
2029700,0.6829268292682927
2030000,1.0666666666666667
2030100,0.1111111111111111
2030200,1.0454545454545454
2030701,0.2727272727272727
2030900,0.5454545454545454
2031000,0.6060606060606061
2031200,0.7272727272727273
2031400,0.2
2031600,0.3076923076923077
2031800,0.21428571428571427
2031900,0.0
2032300,0.725
2032400,1.0980392156862746
2032600,1.0
2032800,1.0701754385964912
2033000,1.7789473684210526
2033201,0.41379310344827586
2033202,0.36
2033400,2.0283018867924527
2033500,0.3548387096774194
2033600,2.4
2033700,0.2916666666666667
2033800,1.7395833333333333
2034000,0.9302325581395349
2034200,0.5
2034300,0.23529411764705882
2034400,0.4230769230769231
2034500,1.1
2034800,1.1384615384615384
2035000,0.0
2035100,0.7297297297297297
2035600,1.403225806451613
2035800,1.2816901408450705
2035900,1.2428571428571429
2036000,0.09090909090909091
2036100,1.2571428571428571
2036300,3.111111111111111
2036400,1.4259259259259258
2036501,1.5632183908045978
2036502,1.2058823529411764
2036700,1.3555555555555556
2036800,1.380952380952381
2036901,0.6585365853658537
2036902,0.717948717948718
2037000,0.4
2037100,1.872093023255814
2037200,0.8285714285714286
2037300,2.26890756302521
2037400,1.4027777777777777
2037504,2.4923076923076923
2037600,0.23529411764705882
2037800,1.3676470588235294
2037900,2.1454545454545455
2038000,2.5
2038100,3.568421052631579
2038200,1.4745762711864407
2038301,1.273972602739726
2038302,1.625
2038500,3.1707317073170733
2038600,2.5476190476190474
2038700,1.9318181818181819
2038800,0.9047619047619048
2038900,3.712041884816754
2039000,1.524390243902439
2039100,2.601449275362319
2039200,0.7727272727272727
2039300,2.3947368421052633
2039400,2.1588785046728973
2039500,2.935064935064935
2039600,0.8548387096774194
2039700,2.4153846153846152
2039800,0.675
2039901,4.237623762376238
