Census_Tracts,mean
1000201,1.1538461538461537
1000202,2.4615384615384617
1000600,3.1627906976744184
1000700,0.6666666666666666
1000800,1.8421052631578947
1000900,1.8695652173913044
1001002,4.145833333333333
1001200,4.319148936170213
1001300,2.2857142857142856
1001401,0.25
1001402,1.2857142857142858
1001501,1.5384615384615385
1001502,0.6
1001600,2.3125
1001800,2.566666666666667
1002000,0.8333333333333334
1002100,1.1818181818181819
1002201,3.4523809523809526
1002202,0.25
1002400,2.606060606060606
1002500,2.05
1002601,3.3777777777777778
1002602,2.6774193548387095
1002700,1.5714285714285714
1002800,3.4390243902439024
1002900,4.26
1003001,4.490909090909091
1003002,0.7142857142857143
1003100,3.6744186046511627
1003200,1.5555555555555556
1003300,4.188679245283019
1003400,2.2222222222222223
1003601,1.6521739130434783
1003602,1.3529411764705883
1003700,1.6666666666666667
1003800,4.771929824561403
1003900,7.555555555555555
1004000,0.9166666666666666
1004100,1.0
1004200,1.0
1004300,3.0
1004400,1.1
1004500,0.5555555555555556
1004700,0.9
1004800,2.1379310344827585
1004900,0.5454545454545454
1005000,0.7272727272727273
1005200,2.7777777777777777
1005400,0.5714285714285714
1005501,0.5714285714285714
1005502,0.2857142857142857
1005600,0.5
1005700,0.0
1005800,1.1428571428571428
1005900,0.6666666666666666
1006000,0.0
1006100,1.0
1006200,1.0555555555555556
1006300,0.875
1006400,7.6976744186046515
1006500,4.807017543859649
1006600,3.577777777777778
1006700,1.0666666666666667
1006800,1.0
1006900,7.0
1007000,0.875
1007100,2.0714285714285716
1007200,1.9473684210526316
1007300,3.9565217391304346
1007400,1.5625
1007500,1.2307692307692308
1007600,2.1785714285714284
1007700,1.5333333333333334
1007800,0.7692307692307693
1007900,2.2580645161290325
1008000,0.6666666666666666
1008100,2.2857142857142856
1008200,0.5
1008300,4.254545454545455
1008400,1.2666666666666666
1008601,0.0
1008602,0.0
1008700,4.519230769230769
1008800,0.8
1008900,0.8666666666666667
1009000,0.875
1009100,1.380952380952381
1009200,2.238095238095238
1009300,1.55
1009400,0.25
1009500,1.0
1009600,0.9333333333333333
1009700,1.1875
1009800,1.7083333333333333
1009900,2.206896551724138
1010000,3.5128205128205128
1010100,3.1818181818181817
1010200,0.6666666666666666
1010300,0.5555555555555556
1010400,0.4
1010601,0.3333333333333333
1010602,0.4
1010800,0.8571428571428571
1010900,2.6
1011000,1.375
1011100,10.434426229508198
1011201,0.0
1011202,0.0
1011203,0.25
1011300,1.1666666666666667
1011402,1.1666666666666667
1011500,6.989010989010989
1011600,0.25
1011700,0.375
1011800,0.2
1011900,10.01388888888889
1012000,4.327272727272727
1012100,8.91588785046729
1012200,0.0
1012400,0.2
1012500,3.264705882352941
1012600,0.6666666666666666
1012700,1.0526315789473684
1012800,0.0
1012900,3.789473684210526
1013000,0.6
1013100,2.625
1013200,0.5714285714285714
1013300,8.990384615384615
1013400,0.16666666666666666
1013500,2.56
1013600,0.0
1013700,1.6
1013800,1.125
1013900,1.6
1014000,0.0
1014200,0.2
1014300,2.4857142857142858
1014401,0.3333333333333333
1014402,0.0
1014500,0.5555555555555556
1014601,0.5
1014602,0.875
1014700,0.5714285714285714
1014801,0.0
1014802,1.2777777777777777
1014900,0.4
1015001,0.0
1015100,2.1875
1015200,1.9411764705882353
1015300,1.2727272727272727
1015400,1.8571428571428572
1015500,0.0
1015601,1.6153846153846154
1015602,1.0
1015700,0.5
1015801,0.7777777777777778
1015802,0.125
1015900,0.6363636363636364
1016002,0.0
1016100,0.6666666666666666
1016200,2.7
1016300,0.3333333333333333
1016400,4.509090909090909
1016500,2.2142857142857144
1016600,6.8604651162790695
1016700,0.4
1016800,2.53125
1016900,0.6666666666666666
1017000,5.970149253731344
1017100,0.8
1017200,5.947368421052632
1017300,0.9230769230769231
1017401,4.090909090909091
1017402,0.8461538461538461
1017500,0.14285714285714285
1017700,1.0714285714285714
1017800,1.5238095238095237
1017900,1.7058823529411764
1018000,4.153846153846154
1018100,0.6
1018200,13.7125748502994
1018300,2.9722222222222223
1018400,3.45
1018500,1.0
1018600,5.3
1018700,1.6153846153846154
1018800,5.731343283582089
1018900,6.426829268292683
1019000,2.2413793103448274
1019100,1.75
1019200,3.9047619047619047
1019300,1.5263157894736843
1019400,6.703703703703703
1019500,1.2941176470588236
1019600,11.170542635658915
1019701,0.6666666666666666
1019702,1.0
1019800,4.615384615384615
1019900,0.14285714285714285
1020000,1.9259259259259258
1020102,3.3076923076923075
1020300,0.6666666666666666
1020500,0.5
1020600,3.0606060606060606
1020800,3.558139534883721
1020901,2.5357142857142856
1021000,5.577464788732394
1021100,2.891891891891892
1021200,4.3
1021303,1.9375
1021400,2.7857142857142856
1021500,2.125
1021600,6.063492063492063
1021703,1.6666666666666667
1021800,4.458333333333333
1021900,6.585365853658536
1022000,2.34375
1022102,2.0454545454545454
1022200,5.840579710144928
1022301,2.4516129032258065
1022302,0.9
1022400,4.206896551724138
1022500,2.3548387096774195
1022600,4.7
1022700,1.8235294117647058
1022800,8.536082474226804
1022900,4.543859649122807
1023000,4.709677419354839
1023100,4.638888888888889
1023200,5.705882352941177
1023300,2.28125
1023400,1.5416666666666667
1023501,4.538461538461538
1023502,2.7948717948717947
1023600,2.717948717948718
1023700,3.230769230769231
1023801,0.8571428571428571
1023802,0.0
1023900,1.6
1024000,4.7894736842105265
1024100,3.975609756097561
1024200,5.650793650793651
1024301,1.8181818181818181
1024302,4.883333333333334
1024500,6.666666666666667
1024700,1.2727272727272727
1024900,2.4583333333333335
1025100,3.5319148936170213
1025300,4.078431372549019
1025500,1.9411764705882353
1025700,3.7045454545454546
1025900,3.6
1026100,3.588235294117647
1026300,3.1
1026500,1.25
1026700,0.0
1026900,3.1714285714285713
1027100,5.159420289855072
1027300,1.2
1027500,0.5
1027700,2.2666666666666666
1027900,3.6363636363636362
1028100,0.25
1028300,0.8333333333333334
1028500,2.4
1028700,2.1785714285714284
1029100,5.424242424242424
1029300,7.811111111111111
1029500,2.71875
1029700,0.9285714285714286
1029900,4.288461538461538
1030300,1.9259259259259258
1030700,0.4
1030900,3.789473684210526
1031100,0.0
1031703,0.0
1031704,0.3333333333333333
1031900,0.0
2000100,53.4203821656051
2000200,0.375
2000400,1.5555555555555556
2001600,2.1578947368421053
2001900,4.9
2002000,5.9855072463768115
2002300,2.433333333333333
2002400,0.0
2002500,3.75
2002701,2.59375
2002702,2.933333333333333
2002800,2.076923076923077
2003100,0.6666666666666666
2003300,4.319148936170213
2003500,1.8
2003700,0.75
2003800,0.25
2003900,13.461077844311378
2004001,0.3333333333333333
2004100,7.08235294117647
2004200,5.768115942028985
2004300,10.122137404580153
2004400,2.423076923076923
2004600,8.300970873786408
2004800,1.8695652173913044
2005001,2.742857142857143
2005002,2.4375
2005100,8.495145631067961
2005200,1.0
2005300,4.0
2005400,3.3333333333333335
2005600,2.761904761904762
2005902,0.7
2006000,0.5
2006100,1.25
2006200,5.424242424242424
2006300,7.022988505747127
2006400,0.9166666666666666
2006500,10.534351145038167
2006700,6.644736842105263
2006800,2.193548387096774
2006900,6.506024096385542
2007000,1.736842105263158
2007100,5.303030303030303
2007200,1.1764705882352942
2007300,4.589285714285714
2007400,2.0
2007500,5.835820895522388
2007600,2.0
2007700,4.25
2007800,1.72
2007900,4.019607843137255
2008300,3.3636363636363638
2008400,0.0
2008500,2.86046511627907
2008600,1.75
2008700,6.405405405405405
2008900,4.683333333333334
2009000,2.5588235294117645
2009200,1.368421052631579
2009300,9.349514563106796
2009600,0.3333333333333333
2009800,1.4
2011000,0.4
2011502,5.343283582089552
2011700,1.375
2011800,0.0
2011900,5.12280701754386
2012101,2.0588235294117645
2012102,0.5555555555555556
2012300,3.5652173913043477
2012500,2.764705882352941
2012701,3.057142857142857
2012901,5.254545454545455
2013000,0.0
