Census_Tracts,mean
1000201,0.8666666666666667
1000202,1.2285714285714286
1000600,1.2361111111111112
1000700,2.8271604938271606
1000800,1.662162162162162
1000900,2.205607476635514
1001001,0.6363636363636364
1001002,0.8285714285714286
1001200,1.619047619047619
1001300,4.0576923076923075
1001401,3.5
1001402,3.2837837837837838
1001501,3.962025316455696
1001502,2.3448275862068964
1001600,3.4504504504504503
1001800,3.827433628318584
1002000,1.8235294117647058
1002100,3.828767123287671
1002201,2.24
1002202,3.1666666666666665
1002400,2.05
1002500,1.0
1002601,1.5535714285714286
1002602,1.4727272727272727
1002700,1.6285714285714286
1002800,2.057142857142857
1002900,3.519230769230769
1003001,3.3418367346938775
1003002,5.629032258064516
1003100,5.032786885245901
1003200,4.864
1003300,2.871165644171779
1003400,3.5323741007194243
1003601,4.042253521126761
1003602,4.858695652173913
1003700,5.2625
1003800,4.463541666666667
1003900,2.541176470588235
1004000,4.880503144654088
1004100,3.8487394957983194
1004200,6.291666666666667
1004300,5.769911504424779
1004400,4.023809523809524
1004500,4.609756097560975
1004700,3.768
1004800,3.7413793103448274
1004900,4.11231884057971
1005000,5.736
1005200,5.250847457627119
1005400,7.720588235294118
1005501,4.185185185185185
1005502,5.52
1005600,8.120481927710843
1005700,3.6025641025641026
1005800,7.294444444444444
1005900,3.211267605633803
1006000,1.3584905660377358
1006100,4.328125
1006200,4.032258064516129
1006300,6.99009900990099
1006400,3.5625
1006500,5.025
1006600,2.732283464566929
1006700,4.0
1006800,5.9523809523809526
1006900,2.0675675675675675
1007000,2.0210526315789474
1007100,5.614634146341463
1007200,4.613138686131387
1007300,3.0878378378378377
1007400,7.0
1007500,3.2444444444444445
1007600,8.939622641509434
1007700,5.627659574468085
1007800,2.5970149253731343
1007900,2.9731182795698925
1008000,3.4838709677419355
1008100,5.4066985645933014
1008200,7.216867469879518
1008300,5.018867924528302
1008400,10.262626262626263
1008601,2.1333333333333333
1008602,2.3333333333333335
1008603,1.7727272727272727
1008700,5.816
1008800,2.710843373493976
1008900,5.488095238095238
1009000,3.1857142857142855
1009100,3.8550724637681157
1009200,4.15609756097561
1009300,4.253846153846154
1009400,6.166666666666667
1009500,6.75
1009600,8.845637583892618
1009700,5.491525423728813
1009800,3.1386138613861387
1009900,6.78921568627451
1010000,4.309523809523809
1010100,6.782334384858044
1010200,7.183098591549296
1010300,7.650602409638554
1010400,7.358974358974359
1010601,1.6326530612244898
1010602,1.8611111111111112
1010800,4.43956043956044
1010900,8.286016949152541
1011000,4.73015873015873
1011100,8.605504587155963
1011201,5.328282828282828
1011202,7.4375
1011203,5.0
1011300,10.885057471264368
1011401,5.828571428571428
1011402,3.1514084507042255
1011500,11.466666666666667
1011600,1.7608695652173914
1011700,6.875
1011800,2.088235294117647
1011900,8.39622641509434
1012000,4.714285714285714
1012100,8.017045454545455
1012200,4.569230769230769
1012400,1.9705882352941178
1012500,9.703296703296703
1012600,2.506172839506173
1012700,9.372781065088757
1012800,2.6271186440677967
1012900,6.0055555555555555
1013000,3.5084745762711864
1013100,6.951807228915663
1013200,2.1904761904761907
1013300,7.090909090909091
1013400,2.7294117647058824
1013500,5.189655172413793
1013600,1.7534246575342465
1013700,6.417721518987341
1013800,2.5531914893617023
1013900,5.223140495867769
1014000,2.4623655913978495
1014200,2.326530612244898
1014300,13.745341614906833
1014401,1.9642857142857142
1014402,2.019230769230769
1014500,5.2180451127819545
1014601,3.4761904761904763
1014602,2.5396825396825395
1014700,2.4150943396226414
1014801,3.0869565217391304
1014802,2.348684210526316
1014900,3.5428571428571427
1015001,3.7142857142857144
1015002,2.765957446808511
1015100,3.0128205128205128
1015200,2.107142857142857
1015300,3.10077519379845
1015400,2.4239130434782608
1015500,3.04
1015601,2.152173913043478
1015602,2.7674418604651163
1015700,3.3008849557522124
1015801,2.859154929577465
1015802,1.8775510204081634
1015900,2.706896551724138
1016001,2.8666666666666667
1016002,3.736842105263158
1016100,3.9411764705882355
1016200,1.9142857142857144
1016300,2.3736263736263736
1016400,1.1538461538461537
1016500,3.242424242424242
1016600,3.1875
1016700,2.1222222222222222
1016800,3.3333333333333335
1016900,3.3043478260869565
1017000,2.888888888888889
1017100,1.8253968253968254
1017200,3.16289592760181
1017300,2.8405797101449277
1017401,3.1578947368421053
1017402,5.333333333333333
1017500,2.0202020202020203
1017700,3.763888888888889
1017800,1.7719298245614035
1017900,2.589041095890411
1018000,3.6582278481012658
1018100,3.6533333333333333
1018200,4.735135135135135
1018300,2.162921348314607
1018400,5.4
1018500,3.338235294117647
1018600,3.1506849315068495
1018700,3.0285714285714285
1018800,3.852272727272727
1018900,3.292682926829268
1019000,2.986111111111111
1019100,2.592
1019200,2.6451612903225805
1019300,4.378378378378378
1019400,3.622950819672131
1019500,2.734513274336283
1019600,3.22
1019701,4.372093023255814
1019702,3.2439024390243905
1019800,4.743589743589744
1019900,1.6219512195121952
1020000,4.4714285714285715
1020101,0.6153846153846154
1020102,2.9243697478991595
1020300,2.0847457627118646
1020500,1.2162162162162162
1020600,3.8309859154929575
1020701,1.125
1020800,3.935483870967742
1020901,2.9158878504672896
1021000,2.3125
1021100,2.088
1021200,3.0277777777777777
1021303,2.732142857142857
1021400,1.6590909090909092
1021500,5.641025641025641
1021600,3.5
1021703,2.066666666666667
1021800,3.1739130434782608
1021900,2.1735537190082646
1022000,5.229508196721311
1022102,2.466666666666667
1022200,2.144230769230769
1022301,2.0
1022302,0.9
1022400,3.6973684210526314
1022500,1.702127659574468
1022600,2.4827586206896552
1022700,2.5555555555555554
1022800,1.4779411764705883
1022900,2.118181818181818
1023000,2.2337662337662336
1023100,2.982300884955752
1023200,1.6973684210526316
1023300,2.2
1023400,1.1
1023501,3.7222222222222223
1023502,2.303030303030303
1023600,2.2033898305084745
1023700,2.1030927835051547
1023801,0.6
1023802,0.375
1023900,1.7
1024000,0.2916666666666667
1024100,2.0985915492957745
1024200,2.888888888888889
1024301,1.2790697674418605
1024302,1.125
1024500,1.9
1024700,1.9636363636363636
1024900,1.0
1025100,2.0114942528735633
1025300,1.8421052631578947
1025500,2.4038461538461537
1025700,5.5
1025900,3.3181818181818183
1026100,2.2666666666666666
1026300,2.671232876712329
1026500,1.8873239436619718
1026700,1.0
1026900,3.119047619047619
1027100,2.9597701149425286
1027300,2.101010101010101
1027500,1.7692307692307692
1027700,1.4285714285714286
1027900,2.8448275862068964
1028100,2.3846153846153846
1028300,1.553191489361702
1028500,2.3768115942028984
1028700,4.036363636363636
1029100,2.18978102189781
1029300,2.1769911504424777
1029500,2.652173913043478
1029700,2.3333333333333335
1029900,2.730769230769231
1030300,2.0229885057471266
1030700,1.3636363636363635
1030900,1.3068181818181819
1031100,4.5
1031703,2.892857142857143
1031704,1.2911392405063291
1031900,2.5555555555555554
2000100,0.037037037037037035
2000200,1.0294117647058822
2000400,1.3478260869565217
2001600,2.3095238095238093
2001900,3.2074074074074073
2002000,1.6666666666666667
2002300,2.7962962962962963
2002400,3.5
2002500,2.6666666666666665
2002701,2.4074074074074074
2002702,2.9047619047619047
2002800,1.8032786885245902
2003100,2.8636363636363638
2003300,3.1315789473684212
2003500,1.0
2003700,3.0
2003800,1.3529411764705883
2003900,2.7783783783783784
2004001,2.0476190476190474
2004100,3.1666666666666665
2004200,2.1404958677685952
2004300,4.838095238095238
2004400,2.4545454545454546
2004600,1.6455696202531647
2004800,2.810810810810811
2005001,1.1
2005002,1.3863636363636365
2005100,7.105960264900662
2005200,2.0
2005300,0.6097560975609756
2005400,2.0303030303030303
2005600,1.183673469387755
2005902,2.433333333333333
2006000,2.75
2006100,7.5
2006200,1.9278350515463918
2006300,4.043290043290043
2006400,1.5128205128205128
2006500,2.801418439716312
2006700,3.8350515463917527
2006800,2.152173913043478
2006900,2.1363636363636362
2007000,1.3728813559322033
2007100,5.9393939393939394
2007200,2.475
2007300,2.193548387096774
2007400,1.054054054054054
2007500,3.627906976744186
2007600,2.0123456790123457
2007700,1.7341772151898733
2007800,1.3333333333333333
2007900,2.962025316455696
2008300,2.2903225806451615
2008400,1.4545454545454546
2008500,2.188679245283019
2008600,0.9428571428571428
2008700,1.9137931034482758
2008900,2.5
2009000,1.0210526315789474
2009200,0.9818181818181818
2009300,2.964028776978417
2009600,2.235294117647059
2009800,2.5762711864406778
2011000,1.5
2011502,2.3454545454545452
2011700,1.6388888888888888
2011800,0.38461538461538464
2011900,2.337078651685393
2012101,0.7058823529411765
2012102,1.4666666666666666
2012300,3.8035714285714284
2012500,1.8679245283018868
2012701,2.206896551724138
2012901,2.9242424242424243
2013000,1.0
2013100,2.1095890410958904
2013200,0.2972972972972973
2013300,2.9272727272727272
2013500,2.8181818181818183
2013800,0.6842105263157895
2014100,3.0
2014300,2.488372093023256
2014400,0.5882352941176471
2014500,2.6575342465753424
2014701,1.619047619047619
2014702,1.6206896551724137
2014900,2.375
2015100,2.5901639344262297
2015200,1.1
2015300,1.5
2015500,1.6744186046511629
2015700,1.489795918367347
2015800,0.7
2015900,1.9636363636363636
2016000,0.6785714285714286
2016100,1.3068181818181819
2016200,1.0769230769230769
2016300,2.2195121951219514
2016400,0.9090909090909091
2016500,2.0851063829787235
2016600,0.3670886075949367
2016700,1.1571428571428573
2016900,1.2666666666666666
2017100,1.1176470588235294
2017300,2.338709677419355
2017500,1.6388888888888888
2017701,2.450980392156863
2017702,2.5
2017901,2.2857142857142856
2017902,2.4571428571428573
2018101,1.3703703703703705
2018102,1.5714285714285714
2018301,2.6923076923076925
2018302,1.7647058823529411
2018400,0.7
2018500,3.2972972972972974
2018900,1.5057471264367817
2019300,2.5609756097560976
2019400,1.75
2019500,2.25
2019700,4.204301075268817
2019900,3.03
2020000,1.515625
2020100,1.2903225806451613
2020200,1.04
2020400,1.9375
2020501,2.126984126984127
2020502,1.28
2020601,1.0769230769230769
2020900,3.119047619047619
2021001,1.5227272727272727
2021002,1.1785714285714286
2021100,2.0454545454545454
2021200,0.5333333333333333
2021301,1.4642857142857142
2021302,1.8958333333333333
2021501,1.1379310344827587
2021502,1.3580246913580247
2021601,1.163265306122449
2021602,2.1475409836065573
2021700,2.913793103448276
2021800,1.9298245614035088
2021900,4.318181818181818
2022000,1.2181818181818183
2022101,1.8125
2022102,3.0384615384615383
2022200,2.019607843137255
2022300,2.169230769230769
2022401,1.2
2022403,1.2
2022404,1.1875
2022500,2.757142857142857
2022701,1.0864197530864197
2022702,1.5696202531645569
2022703,1.625
2022800,0.5925925925925926
2022901,1.76
2022902,1.6666666666666667
2023000,2.4324324324324325
2023100,1.32
2023200,0.5217391304347826
