Census_Tracts,Time_Period,total
1008000,latenight,3
1008000,midday,3
1008000,morning,2
1008100,evening,11
1008100,latenight,8
1008100,midday,4
1008100,morning,5
1008200,evening,0
1008200,latenight,3
1008200,midday,3
1008200,morning,2
1008300,evening,11
1008300,latenight,27
1008300,midday,8
1008300,morning,9
1008400,evening,3
1008400,latenight,7
1008400,midday,3
1008400,morning,2
1008601,evening,2
1008601,latenight,0
1008601,midday,0
1008601,morning,1
1008602,evening,0
1008602,latenight,0
1008602,midday,1
1008602,morning,0
1008700,evening,12
1008700,latenight,26
1008700,midday,2
1008700,morning,12
1008800,evening,1
1008800,latenight,6
1008800,midday,2
1008800,morning,1
1008900,evening,5
1008900,latenight,3
1008900,midday,4
1008900,morning,3
1009000,evening,1
1009000,latenight,1
1009000,midday,3
1009000,morning,3
1009100,evening,12
1009100,latenight,3
1009100,midday,3
1009100,morning,3
1009200,evening,9
1009200,latenight,5
1009200,midday,7
1009200,morning,0
1009300,evening,7
1009300,latenight,8
1009300,midday,1
1009300,morning,4
1009400,evening,1
1009400,latenight,0
1009400,midday,2
1009400,morning,1
1009500,evening,3
1009500,latenight,6
1009500,midday,1
1009500,morning,2
1009600,evening,2
1009600,latenight,2
1009600,midday,8
1009600,morning,3
1009700,evening,8
1009700,latenight,7
1009700,midday,1
1009700,morning,0
1009800,evening,6
1009800,latenight,7
1009800,midday,7
1009800,morning,4
1009900,evening,3
1009900,latenight,12
1009900,midday,6
1009900,morning,8
1010000,evening,7
1010000,latenight,12
1010000,midday,10
1010000,morning,10
1010100,evening,9
1010100,latenight,8
1010100,midday,12
1010100,morning,4
1010200,evening,4
1010200,latenight,0
1010200,midday,1
1010200,morning,1
1010300,evening,4
1010300,latenight,2
1010300,midday,3
1010300,morning,0
1010400,evening,4
1010400,latenight,1
1010400,midday,0
1010400,morning,0
1010601,evening,1
1010601,latenight,1
1010601,midday,1
1010601,morning,0
1010602,evening,3
1010602,latenight,0
1010602,midday,2
1010602,morning,0
1010800,evening,0
1010800,latenight,3
1010800,midday,2
1010800,morning,2
1010900,evening,10
1010900,latenight,9
1010900,midday,11
1010900,morning,5
1011000,evening,2
1011000,latenight,1
1011000,midday,2
1011000,morning,3
1011100,evening,45
1011100,latenight,30
1011100,midday,21
1011100,morning,26
1011201,evening,1
1011201,latenight,0
1011201,midday,1
1011201,morning,0
1011202,evening,0
1011202,latenight,0
1011202,midday,1
1011202,morning,0
1011203,evening,2
1011203,latenight,1
1011203,midday,0
1011203,morning,1
1011300,evening,4
1011300,latenight,2
1011300,midday,1
1011300,morning,5
1011402,evening,6
1011402,latenight,2
1011402,midday,3
1011402,morning,1
1011500,evening,33
1011500,latenight,22
1011500,midday,22
1011500,morning,14
1011600,evening,0
1011600,latenight,2
1011600,midday,0
1011600,morning,2
1011700,evening,2
1011700,latenight,5
1011700,midday,0
1011700,morning,1
1011800,evening,0
1011800,latenight,2
1011800,midday,3
1011800,morning,0
1011900,evening,13
1011900,latenight,15
1011900,midday,36
1011900,morning,8
1012000,evening,15
1012000,latenight,23
1012000,midday,9
1012000,morning,8
1012100,evening,53
1012100,latenight,17
1012100,midday,22
1012100,morning,15
1012200,evening,1
1012200,latenight,0
1012200,midday,0
1012200,morning,1
1012400,evening,1
1012400,latenight,1
1012400,midday,3
1012400,morning,0
1012500,evening,8
1012500,latenight,21
1012500,midday,1
1012500,morning,4
1012600,evening,0
1012600,latenight,1
1012600,midday,3
1012600,morning,2
1012700,evening,4
1012700,latenight,8
1012700,midday,5
1012700,morning,2
1012800,evening,0
1012800,latenight,1
1012800,midday,0
1012800,morning,0
1012900,evening,7
1012900,latenight,22
1012900,midday,6
1012900,morning,3
1013000,evening,1
1013000,latenight,1
1013000,midday,0
1013000,morning,3
1013100,evening,2
1013100,latenight,5
1013100,midday,8
1013100,morning,1
1013200,evening,3
1013200,latenight,1
1013200,midday,2
1013200,morning,1
1013300,evening,26
1013300,latenight,27
