Census_Tracts,Time_Period,total
1007900,latenight,93
1007900,midday,26
1007900,morning,14
1008000,evening,34
1008000,latenight,18
1008000,midday,32
1008000,morning,9
1008100,evening,73
1008100,latenight,48
1008100,midday,60
1008100,morning,28
1008200,evening,24
1008200,latenight,10
1008200,midday,31
1008200,morning,18
1008300,evening,58
1008300,latenight,79
1008300,midday,46
1008300,morning,29
1008400,evening,86
1008400,latenight,32
1008400,midday,68
1008400,morning,12
1008601,evening,3
1008601,latenight,3
1008601,midday,4
1008601,morning,5
1008602,evening,2
1008602,latenight,1
1008602,midday,3
1008602,morning,0
1008603,evening,5
1008603,latenight,5
1008603,midday,7
1008603,morning,5
1008700,evening,48
1008700,latenight,24
1008700,midday,40
1008700,morning,13
1008800,evening,13
1008800,latenight,27
1008800,midday,32
1008800,morning,11
1008900,evening,25
1008900,latenight,16
1008900,midday,29
1008900,morning,14
1009000,evening,23
1009000,latenight,17
1009000,midday,22
1009000,morning,8
1009100,evening,42
1009100,latenight,26
1009100,midday,52
1009100,morning,18
1009200,evening,69
1009200,latenight,24
1009200,midday,77
1009200,morning,35
1009300,evening,46
1009300,latenight,17
1009300,midday,50
1009300,morning,17
1009400,evening,28
1009400,latenight,10
1009400,midday,44
1009400,morning,8
1009500,evening,39
1009500,latenight,18
1009500,midday,52
1009500,morning,23
1009600,evening,47
1009600,latenight,18
1009600,midday,66
1009600,morning,18
1009700,evening,15
1009700,latenight,15
1009700,midday,19
1009700,morning,10
1009800,evening,25
1009800,latenight,26
1009800,midday,33
1009800,morning,17
1009900,evening,55
1009900,latenight,47
1009900,midday,63
1009900,morning,39
1010000,evening,48
1010000,latenight,32
1010000,midday,63
1010000,morning,25
1010100,evening,148
1010100,latenight,33
1010100,midday,104
1010100,morning,32
1010200,evening,23
1010200,latenight,9
1010200,midday,33
1010200,morning,6
1010300,evening,27
1010300,latenight,22
1010300,midday,19
1010300,morning,15
1010400,evening,146
1010400,latenight,10
1010400,midday,105
1010400,morning,12
1010601,evening,13
1010601,latenight,7
1010601,midday,19
1010601,morning,10
1010602,evening,9
1010602,latenight,6
1010602,midday,17
1010602,morning,4
1010800,evening,23
1010800,latenight,17
1010800,midday,41
1010800,morning,10
1010900,evening,203
1010900,latenight,51
1010900,midday,178
1010900,morning,40
1011000,evening,23
1011000,latenight,11
1011000,midday,19
1011000,morning,10
1011100,evening,68
1011100,latenight,39
1011100,midday,73
1011100,morning,38
1011201,evening,101
1011201,latenight,13
1011201,midday,67
1011201,morning,17
1011202,evening,21
1011202,latenight,15
1011202,midday,24
1011202,morning,4
1011203,evening,44
1011203,latenight,7
1011203,midday,42
1011203,morning,13
1011300,evening,62
1011300,latenight,27
1011300,midday,57
1011300,morning,28
1011401,evening,51
1011401,latenight,2
1011401,midday,45
1011401,morning,7
1011402,evening,152
1011402,latenight,20
1011402,midday,94
1011402,morning,18
1011500,evening,55
1011500,latenight,60
1011500,midday,64
1011500,morning,31
1011600,evening,8
1011600,latenight,11
1011600,midday,21
1011600,morning,6
1011700,evening,5
1011700,latenight,8
1011700,midday,8
1011700,morning,3
1011800,evening,18
1011800,latenight,8
1011800,midday,30
1011800,morning,12
1011900,evening,169
1011900,latenight,112
1011900,midday,103
1011900,morning,40
1012000,evening,30
1012000,latenight,7
1012000,midday,31
1012000,morning,16
1012100,evening,112
1012100,latenight,100
1012100,midday,96
1012100,morning,44
1012200,evening,18
1012200,latenight,5
1012200,midday,36
1012200,morning,6
1012400,evening,5
1012400,latenight,6
1012400,midday,18
1012400,morning,5
1012500,evening,103
1012500,latenight,61
1012500,midday,72
1012500,morning,37
1012600,evening,25
1012600,latenight,9
1012600,midday,31
1012600,morning,16
1012700,evening,32
1012700,latenight,53
1012700,midday,48
1012700,morning,36
1012800,evening,18
1012800,latenight,9
1012800,midday,27
1012800,morning,5
1012900,evening,52
1012900,latenight,47
1012900,midday,50
1012900,morning,31
1013000,evening,17
1013000,latenight,4
1013000,midday,31
1013000,morning,7
1013100,evening,49
1013100,latenight,40
1013100,midday,55
1013100,morning,22
1013200,evening,7
1013200,latenight,10
1013200,midday,16
1013200,morning,9
1013300,evening,62
1013300,latenight,53
1013300,midday,57
1013300,morning,37
1013400,evening,23
1013400,latenight,20
1013400,midday,21
1013400,morning,21
1013500,evening,34
1013500,latenight,28
1013500,midday,41
1013500,morning,13
1013600,evening,16
1013600,latenight,9
1013600,midday,29
1013600,morning,19
1013700,evening,68
1013700,latenight,41
1013700,midday,94
1013700,morning,34
1013800,evening,18
1013800,latenight,24
1013800,midday,31
1013800,morning,21
1013900,evening,31
1013900,latenight,23
1013900,midday,37
1013900,morning,30
1014000,evening,29
1014000,latenight,13
1014000,midday,29
1014000,morning,22
1014200,evening,16
1014200,latenight,7
1014200,midday,16
1014200,morning,10
1014300,evening,54
1014300,latenight,18
1014300,midday,69
1014300,morning,20
1014401,evening,6
1014401,latenight,3
1014401,midday,10
1014401,morning,9
1014402,evening,19
1014402,latenight,7
1014402,midday,16
1014402,morning,10
1014500,evening,39
1014500,latenight,16
1014500,midday,55
1014500,morning,23
1014601,evening,10
1014601,latenight,12
1014601,midday,10
1014601,morning,10
1014602,evening,22
1014602,latenight,11
1014602,midday,17
1014602,morning,13
1014700,evening,20
1014700,latenight,7
1014700,midday,16
1014700,morning,10
1014801,evening,25
1014801,latenight,6
1014801,midday,25
1014801,morning,13
1014802,evening,47
1014802,latenight,24
1014802,midday,62
1014802,morning,19
1014900,evening,28
1014900,latenight,7
1014900,midday,26
1014900,morning,9
1015001,evening,4
1015001,latenight,0
1015001,midday,1
1015001,morning,2
1015002,evening,12
1015002,latenight,6
1015002,midday,22
1015002,morning,7
1015100,evening,20
1015100,latenight,11
1015100,midday,33
1015100,morning,14
1015200,evening,20
1015200,latenight,9
1015200,midday,19
1015200,morning,8
1015300,evening,48
1015300,latenight,17
1015300,midday,46
1015300,morning,18
1015400,evening,29
1015400,latenight,17
1015400,midday,29
1015400,morning,17
1015500,evening,13
1015500,latenight,8
1015500,midday,22
1015500,morning,7
1015601,evening,9
1015601,latenight,14
1015601,midday,17
1015601,morning,6
1015602,evening,15
1015602,latenight,8
1015602,midday,13
1015602,morning,7
1015700,evening,27
1015700,latenight,12
1015700,midday,55
1015700,morning,19
1015801,evening,20
1015801,latenight,9
1015801,midday,31
1015801,morning,11
1015802,evening,13
1015802,latenight,8
1015802,midday,24
1015802,morning,4
1015900,evening,45
1015900,latenight,15
1015900,midday,37
1015900,morning,19
1016001,evening,9
1016001,latenight,4
1016001,midday,13
1016001,morning,4
1016002,evening,7
1016002,latenight,4
1016002,midday,5
1016002,morning,3
1016100,evening,14
1016100,latenight,7
1016100,midday,35
1016100,morning,12
1016200,evening,2
1016200,latenight,9
1016200,midday,17
1016200,morning,7
1016300,evening,30
1016300,latenight,13
1016300,midday,33
1016300,morning,15
1016400,evening,20
1016400,latenight,14
1016400,midday,22
1016400,morning,9
1016500,evening,14
1016500,latenight,7
1016500,midday,31
1016500,morning,14
1016600,evening,32
1016600,latenight,18
1016600,midday,29
1016600,morning,17
1016700,evening,37
1016700,latenight,13
1016700,midday,32
1016700,morning,8
1016800,evening,8
1016800,latenight,7
1016800,midday,29
1016800,morning,13
1016900,evening,19
1016900,latenight,10
1016900,midday,25
1016900,morning,15
1017000,evening,16
1017000,latenight,14
1017000,midday,20
1017000,morning,13
1017100,evening,24
1017100,latenight,8
1017100,midday,27
1017100,morning,4
1017200,evening,66
1017200,latenight,42
1017200,midday,84
1017200,morning,29
1017300,evening,13
1017300,latenight,12
