Census_Tracts,Time_Period,total
1007900,latenight,118
1007900,midday,28
1007900,morning,14
1008000,evening,35
1008000,latenight,21
1008000,midday,35
1008000,morning,11
1008100,evening,84
1008100,latenight,56
1008100,midday,64
1008100,morning,33
1008200,evening,24
1008200,latenight,13
1008200,midday,34
1008200,morning,20
1008300,evening,69
1008300,latenight,106
1008300,midday,54
1008300,morning,38
1008400,evening,89
1008400,latenight,39
1008400,midday,71
1008400,morning,14
1008601,evening,5
1008601,latenight,3
1008601,midday,4
1008601,morning,6
1008602,evening,2
1008602,latenight,1
1008602,midday,4
1008602,morning,0
1008603,evening,5
1008603,latenight,5
1008603,midday,7
1008603,morning,5
1008700,evening,60
1008700,latenight,50
1008700,midday,42
1008700,morning,25
1008800,evening,14
1008800,latenight,33
1008800,midday,34
1008800,morning,12
1008900,evening,30
1008900,latenight,19
1008900,midday,33
1008900,morning,17
1009000,evening,24
1009000,latenight,18
1009000,midday,25
1009000,morning,11
1009100,evening,54
1009100,latenight,29
1009100,midday,55
1009100,morning,21
1009200,evening,78
1009200,latenight,29
1009200,midday,84
1009200,morning,35
1009300,evening,53
1009300,latenight,25
1009300,midday,51
1009300,morning,21
1009400,evening,29
1009400,latenight,10
1009400,midday,46
1009400,morning,9
1009500,evening,42
1009500,latenight,24
1009500,midday,53
1009500,morning,25
1009600,evening,49
1009600,latenight,20
1009600,midday,74
1009600,morning,21
1009700,evening,23
1009700,latenight,22
1009700,midday,20
1009700,morning,10
1009800,evening,31
1009800,latenight,33
1009800,midday,40
1009800,morning,21
1009900,evening,58
1009900,latenight,59
1009900,midday,69
1009900,morning,47
1010000,evening,55
1010000,latenight,44
1010000,midday,73
1010000,morning,35
1010100,evening,157
1010100,latenight,41
1010100,midday,116
1010100,morning,36
1010200,evening,27
1010200,latenight,9
1010200,midday,34
1010200,morning,7
1010300,evening,31
1010300,latenight,24
1010300,midday,22
1010300,morning,15
1010400,evening,150
1010400,latenight,11
1010400,midday,105
1010400,morning,12
1010601,evening,14
1010601,latenight,8
1010601,midday,20
1010601,morning,10
1010602,evening,12
1010602,latenight,6
1010602,midday,19
1010602,morning,4
1010800,evening,23
1010800,latenight,20
1010800,midday,43
1010800,morning,12
1010900,evening,213
1010900,latenight,60
1010900,midday,189
1010900,morning,45
1011000,evening,25
1011000,latenight,12
1011000,midday,21
1011000,morning,13
1011100,evening,113
1011100,latenight,69
1011100,midday,94
1011100,morning,64
1011201,evening,102
1011201,latenight,13
1011201,midday,68
1011201,morning,17
1011202,evening,21
1011202,latenight,15
1011202,midday,25
1011202,morning,4
1011203,evening,46
1011203,latenight,8
1011203,midday,42
1011203,morning,14
1011300,evening,66
1011300,latenight,29
1011300,midday,58
1011300,morning,33
1011401,evening,51
1011401,latenight,2
1011401,midday,45
1011401,morning,7
1011402,evening,158
1011402,latenight,22
1011402,midday,97
1011402,morning,19
1011500,evening,88
1011500,latenight,82
1011500,midday,86
1011500,morning,45
1011600,evening,8
1011600,latenight,13
1011600,midday,21
1011600,morning,8
1011700,evening,7
1011700,latenight,13
1011700,midday,8
1011700,morning,4
1011800,evening,18
1011800,latenight,10
1011800,midday,33
1011800,morning,12
1011900,evening,182
1011900,latenight,127
1011900,midday,139
1011900,morning,48
1012000,evening,45
1012000,latenight,30
1012000,midday,40
1012000,morning,24
1012100,evening,165
1012100,latenight,117
1012100,midday,118
1012100,morning,59
1012200,evening,19
1012200,latenight,5
1012200,midday,36
1012200,morning,7
1012400,evening,6
1012400,latenight,7
1012400,midday,21
1012400,morning,5
1012500,evening,111
1012500,latenight,82
1012500,midday,73
1012500,morning,41
1012600,evening,25
1012600,latenight,10
1012600,midday,34
1012600,morning,18
1012700,evening,36
1012700,latenight,61
1012700,midday,53
1012700,morning,38
1012800,evening,18
1012800,latenight,10
1012800,midday,27
1012800,morning,5
1012900,evening,59
1012900,latenight,69
1012900,midday,56
1012900,morning,34
1013000,evening,18
1013000,latenight,5
1013000,midday,31
1013000,morning,10
1013100,evening,51
1013100,latenight,45
1013100,midday,63
1013100,morning,23
1013200,evening,10
1013200,latenight,11
1013200,midday,18
1013200,morning,10
1013300,evening,88
1013300,latenight,80
1013300,midday,88
1013300,morning,57
1013400,evening,25
1013400,latenight,21
1013400,midday,23
1013400,morning,22
1013500,evening,39
1013500,latenight,35
1013500,midday,47
1013500,morning,20
1013600,evening,16
1013600,latenight,11
1013600,midday,29
1013600,morning,20
1013700,evening,70
1013700,latenight,46
1013700,midday,100
1013700,morning,36
1013800,evening,19
1013800,latenight,26
1013800,midday,33
1013800,morning,24
1013900,evening,36
1013900,latenight,25
1013900,midday,44
1013900,morning,36
1014000,evening,29
1014000,latenight,15
1014000,midday,29
1014000,morning,22
1014200,evening,16
1014200,latenight,8
1014200,midday,17
1014200,morning,13
1014300,evening,65
1014300,latenight,23
1014300,midday,80
1014300,morning,28
1014401,evening,8
1014401,latenight,3
1014401,midday,11
1014401,morning,9
1014402,evening,20
1014402,latenight,7
1014402,midday,16
1014402,morning,10
1014500,evening,41
1014500,latenight,17
1014500,midday,57
1014500,morning,27
1014601,evening,11
1014601,latenight,13
1014601,midday,10
1014601,morning,12
1014602,evening,28
1014602,latenight,12
1014602,midday,18
1014602,morning,13
1014700,evening,21
1014700,latenight,9
1014700,midday,19
1014700,morning,11
1014801,evening,27
1014801,latenight,6
1014801,midday,27
1014801,morning,13
1014802,evening,49
1014802,latenight,30
1014802,midday,69
1014802,morning,22
1014900,evening,30
1014900,latenight,8
1014900,midday,26
1014900,morning,11
1015001,evening,4
1015001,latenight,0
1015001,midday,1
1015001,morning,3
1015002,evening,12
1015002,latenight,6
1015002,midday,22
1015002,morning,7
1015100,evening,29
1015100,latenight,20
1015100,midday,42
1015100,morning,19
1015200,evening,24
1015200,latenight,14
1015200,midday,24
1015200,morning,11
1015300,evening,51
1015300,latenight,20
1015300,midday,48
1015300,morning,21
1015400,evening,35
1015400,latenight,23
1015400,midday,33
1015400,morning,22
1015500,evening,15
1015500,latenight,8
1015500,midday,23
1015500,morning,7
1015601,evening,14
